ID,SampleID,SampleType,Specimen type,Type,Read count,Corynebacterium,Kocuria,Micrococcus,Friedmanniella,Cutibacterium,Deinococcus,Staphylococcus,Streptococcus,Finegoldia,Paracoccus,Acinetobacter,Moraxella,Pseudomonas,Aureobasidium,Parastagonospora,Aspergillus,Botrytis,Hebeloma,Serpula,Postia,Grifola,Fomitiporia,Escherichia,Klebsiella,Coprinopsis,Ganoderma,Wolfiporia,Pestalotiopsis,Prevotella,Veillonella,Malassezia,Methylibium,Stereum,Heterobasidion,Trametes,Trichoderma,Schizophyllum,Dichomitus,Others
65,HMSP1443,Surface,Sample,Samples,11582,0.587117942,0.094974961,0.345363495,0,0.103609049,0.379899845,0.975651874,0.543947505,0.025902262,4.394750475,0.630288379,0.250388534,0.345363495,0,0,60.42997755,0,0,0,0.682092903,1.001554136,1.139699534,0.397168019,0.604386116,0.846140563,0.474874806,0.423070281,1.21740632,0.017268175,0.03453635,1.070626835,0,0,0,0.595752029,0,9.911932309,3.738559834,8.737696424
66,HMSP1501,Indoor air,Sample,Samples,17253,3.49504434,2.474931896,1.773604591,0,0.568017156,2.341621747,0.376746073,0.730307773,0,24.52906741,1.356285863,4.555729438,0.475279662,0,0,0.336173419,0,0,0.915782762,1.877934272,2.625630325,0,0,0,0.492667942,0.938967136,0,0,0.005796093,0,3.825421666,0,0,0,1.524372573,0.01738828,0.904190576,6.537993392,37.32104562
67,HMSP1502,Outdoor air,Sample,Samples,8228,17.93874575,0.109382596,0.789985416,0,0.036460865,0,1.263976665,0,0,3.159941663,0.826446281,0.534759358,0.097228974,0,0,0.13368984,0,0,2.430724356,4.326689353,6.575109383,0,0,0,1.446280992,3.269324259,3.111327175,0,0,0,0.850753525,0,0,0,3.925619835,0,2.467185221,16.72338357,29.98298492
68,HMSP1503,Surface,Sample,Samples,13429,1.027626778,4.490282225,2.777570929,0,0.886141932,5.49556929,1.65313873,2.330776677,0.454240822,13.35170154,2.00312756,4.4456028,0.811676223,0,0,1.429741604,0,0,0,0.417007968,0.454240822,0.647851664,0.670191377,0.417007968,0.379775114,0.424454539,0.282969692,0.223397126,0.007446571,0.08935885,11.10283714,0,0,0,0.372328543,0,2.211631544,2.070146697,39.07215728
69,HMSP1506,Indoor air,Sample,Samples,8573,0.501574711,0.408258486,0.279948676,0,0.058322641,0.221626035,0.058322641,0.104980754,0,1.108130176,0.653213578,0.244955092,0.373264901,0,0,2.472879972,0,0,1.329756211,2.04129243,2.566196197,0,0,0,0.944826782,1.563046775,0,0,0.023329056,0,0.641549049,0,0,0,1.52805319,0.163303394,64.17823399,14.1607372,4.374198063
70,HMSP1507,Outdoor air,Sample,Samples,7573,0.845107619,0.092433646,0.250891324,0,0.105638452,0,0.132048065,0,0,0.316915357,0.963950878,0.184867292,0.118843259,0,0,1.14881817,0,0,1.558167173,1.650600819,2.60134689,0,0,0,0.739469167,1.254456622,1.346890268,0,0,0,1.412914301,0,0,0,1.716624851,0,67.48976627,11.6994586,4.370790977
71,HMSP1508,Surface,Sample,Samples,4978,7.472880675,0.74327039,1.10486139,0,0.642828445,1.607071113,1.044596223,0.401767778,0.160707111,2.290076336,2.932904781,0.582563278,2.430695058,0,0,1.747689835,0,0,0,0.723182001,0.92406589,2.370429892,9.03977501,3.234230615,1.044596223,0.803535556,0.482121334,5.243069506,0.080353556,0,6.167135396,0,0,0,0.863800723,0,12.43471274,7.533145842,25.8939333
72,HMSP1511,Indoor air,Sample,Samples,11564,1.686267727,0.086475268,0.077827741,0,0.19024559,0.302663438,0.129712902,0.060532688,0,0.034590107,0.172950536,0.138360429,0.147007956,0,0,1.020408163,0,0,1.124178485,1.288481494,1.885160844,0,0,0,0.389138706,0.951227949,0,0,0.008647527,0,5.984088551,0,0,0,1.072293324,0.138360429,69.36181252,9.61604981,4.133517816
73,HMSP1512,Outdoor air,Sample,Samples,21003,0.385659192,0.028567348,0.285673475,0,2.871018426,0,0.214255106,0,0,0.147597962,1.885444936,0.585630624,1.171261248,0,0,0.033328572,0,0,0.057134695,0.157120411,0.133314288,0,0,0,0.042851021,0.142836738,0.080940818,0,0,0,3.494738847,0,0,0,0.161881636,0,5.194496024,0.461838785,82.46440985
74,HMSP1513,Surface,Sample,Samples,12273,5.239142834,1.17330726,1.026643852,0,2.379206388,3.536217714,4.929520085,1.931068198,0.301474782,1.099975556,3.911024199,1.336266601,0.431842255,0,0,1.442190174,0,0,0,0.497025992,0.749612972,1.694777153,3.120671392,1.197751161,1.434042206,0.594801597,0.309622749,2.656237269,0.179255276,0.024443901,31.32078546,0,0,0,0.52961786,0,5.336918439,3.576957549,18.03959913
